Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26.0,,Travel_Rarely,,,28.0,2.0,Marketing,1.0,641.0,1.0,,66.0,3.0,,Sales Executive,2.0,Married,,7428.0,,Y,No,20.0,4.0,4.0,80.0,2.0,6.0,5.0,,5.0,3.0,,4.0
Yes ,,,945.0,Research & Development,22.0,3.0,Medical,1.0,1043.0,4.0,Female,82.0,3.0,3.0,Manufacturing Director,1.0,Single,10880.0,5083.0,1.0,Y,Yes,13.0,3.0,3.0,80.0,0.0,21.0,2.0,3.0,21.0,6.0,2.0,8.0
43.0,No,,,Research & Development,2.0,,Medical,1.0,46.0,4.0,Female,72.0,,1.0,Research Scientist,3.0,Divorced,2645.0,,1.0,Y,No,12.0,3.0,4.0,80.0,2.0,6.0,3.0,,5.0,3.0,1.0,4.0
Yes ,No,Travel_Rarely,1480.0,Sales,4.0,3.0,Life Sciences,1.0,,3.0,Male,64.0,3.0,3.0,Sales Executive,4.0,Married,9713.0,24444.0,2.0,Y,,13.0,3.0,4.0,80.0,3.0,9.0,3.0,3.0,5.0,3.0,,0.0
yes,Yes,Travel_Rarely,1485.0,Research & Development,12.0,,Life Sciences,1.0,1175.0,3.0,Female,,3.0,1.0,Laboratory Technician,,,2515.0,22955.0,1.0,Y,Yes,,3.0,,80.0,0.0,1.0,,2.0,1.0,1.0,0.0,0.0
yes,No,Travel_Rarely,1351.0,Research & Development,26.0,4.0,Life Sciences,,1682.0,1.0,Male,80.0,,2.0,Healthcare Representative,3.0,Married,5347.0,7419.0,6.0,,No,14.0,,2.0,80.0,,,2.0,,,2.0,0.0,2.0
yes,,Travel_Rarely,809.0,Research & Development,1.0,,Life Sciences,1.0,1677.0,3.0,,36.0,3.0,4.0,Manager,3.0,Single,15379.0,22384.0,4.0,Y,No,14.0,3.0,1.0,80.0,0.0,23.0,2.0,3.0,,7.0,,
,No,Travel_Rarely,144.0,Research & Development,22.0,3.0,Life Sciences,1.0,,4.0,Male,46.0,1.0,,Laboratory Technician,3.0,Single,4230.0,19225.0,0.0,Y,No,15.0,3.0,3.0,80.0,0.0,,,,,4.0,,3.0
,Yes,Travel_Frequently,534.0,Research & Development,,,Life Sciences,1.0,587.0,1.0,Male,66.0,3.0,3.0,Healthcare Representative,3.0,Married,9824.0,22908.0,3.0,Y,No,12.0,3.0,1.0,,0.0,12.0,,3.0,,0.0,0.0,0.0
33.0,,,722.0,,,,Life Sciences,1.0,992.0,,,38.0,3.0,4.0,Manager,3.0,Single,17444.0,20489.0,1.0,Y,No,11.0,,4.0,80.0,0.0,10.0,2.0,3.0,,8.0,6.0,0.0
Yes ,No,,1210.0USD,,2.0USD,,Medical,1.0,1542.0,3.0,,68.0,2.0,1.0,Laboratory Technician,2.0,,4841.0,24052.0,4.0,Y,No,14.0,3.0,,80.0,1.0,4.0,3.0,3.0,1.0,0.0,,0.0
34.0,Yes,Travel_Frequently,658.0,Research & Development,7.0,3.0,Life Sciences,1.0,147.0,1.0,Male,66.0,1.0,2.0,Laboratory Technician,,Single,6074.0,22887.0,,,Yes,24.0,,4.0,80.0,0.0,9.0,3.0,3.0,9.0,7.0,0.0,6.0
37.0,No,Non-Travel,728.0,Research & Development,1.0,,Medical,1.0,380.0,1.0,Female,,3.0,3.0,,4.0,Divorced,13603.0,11677.0,2.0,,,,3.0,1.0,80.0,2.0,15.0,2.0,3.0,5.0,2.0,0.0,
yes,No,Non-Travel,,,2.0,,,,361.0,4.0,,39.0,,2.0,Sales Executive,4.0,Married,5249.0,19682.0,3.0,Y,,18.0,,4.0,80.0,1.0,13.0,0.0,3.0,8.0,,7.0,
43.0,,Travel_Frequently,,Research & Development,27.0,3.0,Life Sciences,,1126.0,,Female,83.0,3.0,3.0,Manufacturing Director,1.0,,10820.0,,8.0,,No,11.0,,,80.0,1.0,18.0,1.0,3.0,8.0,7.0,,1.0
41.0,No,Travel_Rarely,918.0,Sales,6.0,3.0,Marketing,1.0,,4.0,,35.0,3.0,3.0,Sales Executive,3.0,Single,9241.0,15869.0,1.0,Y,No,12.0,3.0,2.0,80.0,0.0,10.0,3.0,3.0,10.0,8.0,8.0,
Yes ,No,Travel_Rarely,561.0,Sales,2.0,3.0,,,606.0,4.0,Male,61.0,3.0,2.0,Sales Executive,2.0,Married,,16177.0,0.0,Y,No,19.0,3.0,2.0,,1.0,9.0,3.0,4.0,8.0,7.0,3.0,7.0
45.0,Yes,Travel_Frequently,306.0,,26.0,4.0,Life Sciences,1.0,684.0,1.0,Female,100.0,3.0,2.0,,,Married,4286.0,,2.0,Y,No,14.0,3.0,4.0,80.0,2.0,5.0,,3.0,1.0,1.0,0.0,0.0
32.0USD,No,Travel_Rarely,634.0USD,,5.0USD,4.0,,1.0,1607.0,2.0,,35.0,,1.0,Research Scientist,4.0,Married,3312.0,18783.0,,Y,No,,,4.0,80.0,2.0,6.0,3.0,3.0,3.0,2.0,0.0,2.0
35.0USD,,Travel_Frequently,146.0USD,,2.0USD,,Medical,1.0,1704.0,1.0,Male,,2.0,1.0,Research Scientist,,Single,4930.0,13970.0,0.0,Y,Yes,14.0,3.0,3.0,80.0,0.0,,2.0,4.0,5.0,4.0,1.0,4.0
37.0,Yes,Travel_Rarely,807.0,Human Resources,6.0,4.0,Human Resources,1.0,133.0,,Male,,,1.0,Human Resources,1.0,Divorced,2073.0,23648.0,4.0,Y,Yes,22.0,4.0,4.0,,,7.0,,3.0,3.0,2.0,,2.0
,No,Travel_Rarely,335.0,Sales,17.0,2.0,,1.0,,3.0,Male,33.0,2.0,2.0,,2.0,Married,5507.0,16822.0,2.0,Y,No,16.0,3.0,,80.0,2.0,12.0,1.0,1.0,4.0,2.0,1.0,3.0
26.0,No,,482.0,Research & Development,1.0,2.0,Life Sciences,,,2.0,Female,90.0,2.0,1.0,Research Scientist,3.0,Married,,14908.0,1.0,Y,Yes,13.0,,3.0,80.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0
51.0,No,Travel_Rarely,1302.0,Research & Development,2.0,3.0,Medical,,408.0,4.0,Male,84.0,1.0,2.0,Manufacturing Director,2.0,Divorced,,16321.0,,Y,No,18.0,3.0,4.0,80.0,1.0,13.0,3.0,3.0,4.0,,,2.0
46.0,Yes,Travel_Rarely,,,10.0,,Life Sciences,1.0,1869.0,3.0,Female,64.0,3.0,3.0,Sales Executive,,Married,7314.0,14011.0,5.0,Y,No,21.0,,3.0,80.0,3.0,14.0,2.0,3.0,8.0,7.0,0.0,7.0
56.0,No,Travel_Rarely,718.0,Research & Development,,4.0,Technical Degree,1.0,1191.0,4.0,Female,92.0,3.0,5.0,Manager,1.0,Divorced,19943.0,18575.0,4.0,Y,,13.0,3.0,4.0,,,28.0,2.0,3.0,5.0,2.0,4.0,2.0
,Yes,Travel_Frequently,307.0,Research & Development,29.0,,Medical,,355.0,3.0,Male,71.0,2.0,1.0,Laboratory Technician,2.0,Single,3479.0,,,Y,No,11.0,3.0,,80.0,0.0,6.0,,4.0,,4.0,1.0,4.0
47.0,,Non-Travel,,Research & Development,1.0,,Medical,1.0,2000.0,3.0,Female,98.0,3.0,,Research Director,2.0,Married,11957.0,17231.0,,Y,No,,3.0,1.0,80.0,2.0,14.0,3.0,1.0,13.0,8.0,5.0,12.0
yes,No,Travel_Rarely,685.0,Research & Development,3.0,3.0,,1.0,,4.0,Male,85.0,,4.0,Research Director,,Married,17779.0,23474.0,3.0,Y,No,14.0,3.0,1.0,80.0,0.0,36.0,2.0,3.0,10.0,9.0,0.0,
yes,No,Travel_Rarely,1181.0USD,Research & Development,3.0USD,1.0,Medical,1.0,201.0,,Female,79.0,3.0,,,2.0,,1483.0,,,Y,No,14.0,3.0,4.0,,0.0,1.0,,3.0,1.0,0.0,0.0,
32.0USD,,Travel_Rarely,977.0USD,Research & Development,2.0USD,3.0,Medical,1.0,1671.0,4.0,Male,,3.0,2.0,,2.0,Divorced,5470.0,25518.0,0.0,Y,No,,3.0,3.0,,2.0,10.0,4.0,2.0,9.0,5.0,1.0,6.0
31.0,No,Non-Travel,,,10.0,3.0,Medical,1.0,1979.0,3.0,Female,40.0,3.0,,Research Director,,Married,11031.0,26862.0,4.0,Y,No,,4.0,3.0,80.0,1.0,13.0,,4.0,11.0,7.0,,8.0
34.0USD,No,Travel_Rarely,1400.0USD,Sales,9.0USD,,Life Sciences,,,2.0,Female,70.0,3.0,2.0,Sales Executive,3.0,,,5829.0,1.0,Y,No,,4.0,1.0,80.0,0.0,6.0,3.0,2.0,,5.0,1.0,
32.0,Yes,Travel_Rarely,374.0,Research & Development,25.0,4.0,Life Sciences,,911.0,1.0,Male,87.0,3.0,1.0,Laboratory Technician,4.0,Single,2795.0,18016.0,1.0,Y,Yes,24.0,4.0,3.0,80.0,,1.0,2.0,1.0,1.0,0.0,0.0,1.0
yes,No,Travel_Frequently,1318.0USD,Sales,10.0USD,4.0,Marketing,1.0,1853.0,4.0,Male,79.0,3.0,2.0,,4.0,Single,4648.0,26075.0,8.0,Y,,13.0,3.0,,80.0,,4.0,2.0,4.0,,0.0,0.0,0.0
yes,No,Travel_Rarely,192.0USD,,2.0USD,4.0,Life Sciences,,426.0,3.0,Male,32.0,3.0,,Research Scientist,4.0,,2695.0,7747.0,0.0,Y,Yes,,3.0,2.0,80.0,1.0,3.0,,1.0,2.0,2.0,2.0,2.0
27.0,No,Travel_Rarely,954.0,Sales,9.0,,Marketing,,1965.0,4.0,Male,44.0,3.0,2.0,Sales Executive,4.0,,,5099.0,1.0,Y,No,14.0,3.0,1.0,80.0,0.0,7.0,5.0,,7.0,7.0,0.0,
yes,No,Travel_Frequently,798.0,Research & Development,7.0,2.0,Life Sciences,1.0,442.0,,,48.0,2.0,3.0,Manufacturing Director,3.0,Married,8943.0,,1.0,Y,,24.0,,1.0,80.0,1.0,,2.0,3.0,10.0,9.0,8.0,9.0
50.0,,Travel_Rarely,989.0,Research & Development,7.0,2.0,Medical,,80.0,2.0,Female,,2.0,5.0,,3.0,,18740.0,,5.0,Y,Yes,12.0,,4.0,80.0,,29.0,2.0,2.0,,3.0,13.0,8.0
42.0,,Travel_Rarely,691.0,Sales,,4.0,,,35.0,,,48.0,3.0,2.0,Sales Executive,2.0,Married,6825.0,,0.0,Y,No,11.0,3.0,4.0,80.0,,10.0,2.0,3.0,9.0,7.0,4.0,2.0
55.0,No,,1229.0,Research & Development,4.0,4.0,Life Sciences,1.0,1501.0,4.0,Male,30.0,3.0,2.0,Healthcare Representative,3.0,Married,4035.0,16143.0,0.0,Y,,16.0,3.0,,80.0,,,2.0,,3.0,2.0,1.0,2.0
,No,Travel_Rarely,824.0,Research & Development,5.0,2.0,Life Sciences,1.0,,4.0,Female,67.0,2.0,2.0,Research Scientist,2.0,,5878.0,15624.0,3.0,Y,No,12.0,3.0,1.0,80.0,1.0,12.0,2.0,3.0,7.0,1.0,2.0,
34.0,No,,878.0,,10.0,4.0,,,277.0,4.0,Male,43.0,3.0,,Research Scientist,3.0,,3815.0,5972.0,1.0,Y,Yes,17.0,,4.0,80.0,1.0,5.0,4.0,4.0,5.0,,2.0,
38.0,No,Travel_Rarely,1153.0,Research & Development,6.0,2.0,Other,1.0,1782.0,4.0,Female,40.0,2.0,1.0,Laboratory Technician,3.0,Married,3702.0,16376.0,,Y,No,,3.0,2.0,,1.0,5.0,,3.0,5.0,4.0,0.0,
,Yes,Non-Travel,265.0,Sales,,2.0,Medical,1.0,1037.0,2.0,Male,79.0,1.0,,Sales Executive,1.0,Single,4969.0,21813.0,8.0,Y,No,18.0,,,80.0,0.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0
,No,,601.0,Sales,7.0,5.0,,1.0,1446.0,4.0,Male,97.0,3.0,2.0,,,Married,,23343.0,4.0,Y,,12.0,3.0,3.0,80.0,1.0,7.0,3.0,2.0,,,0.0,3.0
53.0,No,Travel_Rarely,447.0,Research & Development,2.0,3.0,,1.0,1472.0,4.0,Male,39.0,4.0,4.0,Research Director,2.0,,16598.0,19764.0,4.0,Y,No,12.0,3.0,2.0,,0.0,35.0,2.0,,9.0,8.0,8.0,8.0
,No,Non-Travel,218.0,Research & Development,8.0,,Medical,1.0,1468.0,4.0,Male,55.0,2.0,3.0,Research Director,,Divorced,13757.0,25178.0,2.0,Y,No,,,3.0,80.0,1.0,16.0,5.0,3.0,9.0,8.0,4.0,8.0
40.0,No,,302.0,,6.0,3.0,Life Sciences,1.0,601.0,2.0,Female,75.0,3.0,4.0,Manufacturing Director,,Single,13237.0,,,Y,,,3.0,3.0,,0.0,22.0,3.0,3.0,,,,13.0
,No,Travel_Rarely,,Research & Development,20.0,,Life Sciences,,1881.0,2.0,,89.0,,2.0,Laboratory Technician,,Divorced,4197.0,18624.0,1.0,,,11.0,3.0,1.0,80.0,,,2.0,3.0,,8.0,0.0,2.0
43.0,No,Travel_Rarely,415.0,Sales,25.0,3.0,Medical,1.0,1076.0,3.0,Male,,2.0,,,4.0,Divorced,,5268.0,5.0,Y,No,13.0,3.0,3.0,80.0,1.0,18.0,5.0,,1.0,,0.0,0.0
33.0,,Non-Travel,530.0,,16.0,3.0,Life Sciences,,1681.0,3.0,Female,36.0,3.0,2.0,Sales Executive,4.0,Divorced,,16130.0,,,Yes,25.0,4.0,3.0,80.0,1.0,7.0,2.0,3.0,6.0,,,2.0
56.0,No,Travel_Frequently,,,9.0,3.0,Medical,1.0,1071.0,1.0,Female,,3.0,,Research Scientist,3.0,Married,2942.0,12154.0,,Y,No,19.0,3.0,2.0,80.0,1.0,18.0,4.0,3.0,,4.0,0.0,3.0
yes,No,Travel_Frequently,1225.0USD,Sales,nanUSD,1.0,Life Sciences,1.0,91.0,1.0,Female,57.0,2.0,2.0,Sales Executive,3.0,Single,,24668.0,7.0,Y,,11.0,3.0,4.0,80.0,0.0,20.0,2.0,,4.0,,1.0,3.0
Yes ,No,Travel_Rarely,581.0USD,Research & Development,1.0USD,,Life Sciences,1.0,2007.0,4.0,Male,63.0,3.0,1.0,,3.0,Single,3375.0,17624.0,0.0,Y,,,3.0,4.0,80.0,0.0,,2.0,4.0,3.0,2.0,1.0,
Yes ,No,Travel_Rarely,,,8.0,2.0,,1.0,,,Female,,3.0,2.0,Sales Executive,3.0,Divorced,4907.0,,,Y,Yes,22.0,4.0,2.0,80.0,1.0,6.0,3.0,2.0,5.0,3.0,0.0,4.0
18.0,Yes,Non-Travel,247.0,Research & Development,,1.0,,1.0,1156.0,3.0,Male,80.0,3.0,1.0,Laboratory Technician,3.0,Single,1904.0,13556.0,,Y,No,12.0,3.0,4.0,80.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
yes,,Travel_Rarely,,,10.0,4.0,,1.0,1924.0,2.0,Male,43.0,3.0,2.0,Sales Executive,3.0,,5487.0,,1.0,Y,,14.0,3.0,2.0,80.0,0.0,,2.0,2.0,10.0,4.0,,9.0
,No,Travel_Rarely,996.0,Research & Development,3.0,2.0,,,379.0,4.0,Male,,2.0,1.0,,3.0,Single,3230.0,10531.0,1.0,Y,No,17.0,,1.0,80.0,0.0,3.0,4.0,,3.0,2.0,1.0,0.0
41.0,No,Travel_Frequently,1018.0,Sales,1.0,,Marketing,1.0,1349.0,3.0,Female,66.0,,2.0,Sales Executive,1.0,Divorced,,,0.0,,No,17.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,9.0,,1.0,7.0
,No,Travel_Frequently,1231.0,Sales,21.0,,Medical,1.0,900.0,3.0,Female,54.0,3.0,1.0,Sales Representative,,,2973.0,21222.0,5.0,Y,,,3.0,,,1.0,10.0,3.0,3.0,,4.0,0.0,
yes,Yes,Travel_Frequently,988.0,Human Resources,,3.0,,1.0,,2.0,Female,43.0,3.0,3.0,Human Resources,1.0,,9950.0,11533.0,9.0,Y,Yes,15.0,3.0,3.0,,3.0,11.0,2.0,3.0,3.0,,0.0,2.0
yes,No,Travel_Rarely,1450.0,Research & Development,15.0,2.0,Life Sciences,1.0,,4.0,Male,52.0,3.0,5.0,Research Director,2.0,Married,19081.0,10849.0,5.0,,No,,3.0,1.0,80.0,1.0,,2.0,3.0,4.0,2.0,0.0,3.0
yes,,Travel_Rarely,,Sales,,,Life Sciences,1.0,,3.0,,41.0,2.0,,,3.0,,,8392.0,6.0,Y,No,11.0,3.0,2.0,80.0,1.0,13.0,4.0,,9.0,4.0,7.0,0.0
36.0,No,Travel_Rarely,,Sales,1.0,2.0,Life Sciences,1.0,857.0,2.0,Male,56.0,,2.0,,,Married,,,1.0,,Yes,14.0,3.0,4.0,80.0,1.0,,1.0,2.0,18.0,14.0,4.0,
32.0,Yes,Travel_Rarely,1045.0,Sales,,4.0,Medical,,291.0,4.0,Male,32.0,1.0,3.0,Sales Executive,,Married,10400.0,,1.0,Y,No,11.0,3.0,3.0,80.0,0.0,14.0,2.0,2.0,14.0,8.0,9.0,
40.0,No,Travel_Rarely,,Sales,2.0,2.0,Marketing,1.0,,,Female,46.0,3.0,,Sales Executive,2.0,Divorced,5715.0,22553.0,7.0,Y,No,12.0,3.0,3.0,80.0,,8.0,5.0,3.0,5.0,4.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,Yes,,781.0,Research & Development,2.0,1.0,Life Sciences,1.0,918.0,4.0,Male,57.0,2.0,1.0,Laboratory Technician,4.0,Divorced,2380.0,13384.0,9.0,Y,Yes,14.0,3.0,4.0,80.0,,3.0,3.0,2.0,1.0,,0.0,0.0
25.0,Yes,Travel_Frequently,,,24.0,1.0,Life Sciences,1.0,1273.0,3.0,Male,,,1.0,Sales Representative,4.0,Single,1118.0,8040.0,1.0,Y,,14.0,3.0,4.0,80.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,
,No,Non-Travel,,Sales,1.0,5.0,Medical,1.0,479.0,,Female,45.0,3.0,2.0,Sales Executive,4.0,Single,6653.0,,4.0,Y,No,,3.0,2.0,80.0,0.0,7.0,,3.0,1.0,0.0,0.0,0.0
45.0,No,,1297.0,,1.0,,Medical,1.0,1922.0,,Male,,3.0,,,3.0,Single,5399.0,,4.0,Y,No,12.0,3.0,3.0,80.0,0.0,,3.0,3.0,4.0,,,3.0
Yes ,,Travel_Frequently,426.0,Human Resources,17.0,,,1.0,608.0,2.0,Female,58.0,3.0,1.0,Human Resources,3.0,,2741.0,22808.0,0.0,Y,Yes,11.0,,2.0,80.0,,,2.0,2.0,,,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,No,Travel_Rarely,1174.0,Sales,,,Marketing,1.0,1425.0,1.0,Female,,,,,2.0,,,20763.0,,Y,Yes,16.0,3.0,4.0,80.0,,15.0,,3.0,5.0,,0.0,1.0
22.0USD,No,Non-Travel,457.0USD,,26.0USD,2.0,Other,1.0,1605.0,2.0,Female,85.0,,1.0,Research Scientist,3.0,Married,2814.0,10293.0,,Y,Yes,14.0,,2.0,80.0,0.0,4.0,2.0,2.0,4.0,2.0,1.0,
,,Travel_Rarely,866.0,Sales,5.0,3.0,Medical,1.0,1469.0,4.0,Male,84.0,3.0,2.0,Sales Executive,1.0,Single,8463.0,23490.0,0.0,,No,18.0,3.0,,80.0,0.0,6.0,4.0,3.0,5.0,4.0,1.0,3.0
yes,No,Travel_Rarely,574.0,Research & Development,11.0,,Life Sciences,1.0,1971.0,1.0,Male,30.0,3.0,3.0,Healthcare Representative,3.0,Married,7510.0,16873.0,1.0,,No,,3.0,2.0,80.0,1.0,10.0,1.0,,10.0,9.0,0.0,9.0
43.0,,,,Human Resources,,3.0,,,1778.0,,Male,97.0,3.0,1.0,Human Resources,4.0,Single,3539.0,,,Y,,13.0,3.0,2.0,,0.0,10.0,,3.0,9.0,7.0,1.0,8.0
23.0,,Travel_Rarely,373.0,Research & Development,1.0,2.0,,1.0,1270.0,4.0,Male,,3.0,1.0,Research Scientist,3.0,,1223.0,16901.0,1.0,Y,No,22.0,4.0,4.0,80.0,,,2.0,3.0,,0.0,0.0,1.0
35.0,No,Travel_Frequently,1199.0,Research & Development,,4.0,Life Sciences,,2049.0,3.0,Male,80.0,3.0,2.0,Healthcare Representative,3.0,Married,,,1.0,Y,Yes,14.0,3.0,4.0,,2.0,10.0,2.0,4.0,10.0,2.0,0.0,2.0
Yes ,No,Travel_Rarely,313.0,,3.0,3.0,,1.0,258.0,4.0,Female,98.0,3.0,,Healthcare Representative,2.0,Single,13734.0,7192.0,3.0,Y,,,3.0,3.0,80.0,0.0,,6.0,3.0,7.0,7.0,1.0,0.0
41.0,No,Non-Travel,509.0,Research & Development,2.0,,Other,1.0,616.0,1.0,Female,62.0,2.0,2.0,Healthcare Representative,3.0,Single,6811.0,2112.0,2.0,Y,Yes,17.0,,1.0,80.0,0.0,10.0,3.0,3.0,8.0,7.0,0.0,
yes,,Travel_Frequently,289.0USD,,2.0USD,2.0,Medical,1.0,1504.0,3.0,Male,38.0,2.0,,Laboratory Technician,1.0,Single,2561.0,5355.0,7.0,Y,No,11.0,3.0,3.0,80.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,
34.0,No,Travel_Rarely,546.0,Research & Development,10.0,3.0,,1.0,934.0,,Male,83.0,3.0,1.0,Laboratory Technician,2.0,Divorced,2008.0,6896.0,1.0,Y,No,14.0,,2.0,80.0,2.0,1.0,3.0,,,0.0,,0.0
yes,No,Travel_Rarely,977.0,Research & Development,2.0,1.0,,1.0,1992.0,4.0,Male,57.0,3.0,1.0,Laboratory Technician,3.0,,3977.0,7298.0,6.0,Y,Yes,19.0,3.0,,,1.0,7.0,,2.0,2.0,2.0,0.0,2.0
yes,No,Non-Travel,1038.0,,8.0,1.0,Life Sciences,1.0,1044.0,2.0,Female,88.0,2.0,1.0,Sales Representative,4.0,,,21437.0,,Y,No,19.0,3.0,4.0,80.0,0.0,,2.0,2.0,2.0,,,
yes,No,,1134.0,Research & Development,16.0,4.0,Technical Degree,1.0,1001.0,3.0,Female,37.0,3.0,,Laboratory Technician,2.0,Married,2811.0,12086.0,9.0,Y,No,,3.0,2.0,80.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0
30.0,No,Travel_Rarely,,Research & Development,9.0,2.0,Medical,,41.0,4.0,Male,83.0,2.0,1.0,,,Single,,16117.0,1.0,Y,No,13.0,3.0,1.0,80.0,0.0,10.0,5.0,3.0,,0.0,1.0,
49.0USD,No,Non-Travel,1002.0USD,,18.0USD,,Life Sciences,1.0,275.0,,Male,92.0,3.0,2.0,,4.0,,6804.0,23793.0,1.0,Y,,15.0,3.0,1.0,80.0,2.0,,,3.0,7.0,7.0,1.0,7.0
,,Travel_Rarely,1217.0,,1.0,3.0,Medical,1.0,,3.0,Female,67.0,3.0,1.0,Research Scientist,,,,12719.0,1.0,Y,No,25.0,4.0,3.0,80.0,1.0,3.0,3.0,3.0,,2.0,1.0,2.0
Yes ,Yes,Travel_Frequently,878.0,Sales,1.0,4.0,Life Sciences,1.0,2044.0,2.0,Male,94.0,3.0,,Sales Executive,,Divorced,6728.0,,7.0,Y,No,12.0,3.0,4.0,80.0,2.0,12.0,3.0,3.0,6.0,3.0,,1.0
51.0,No,Travel_Rarely,1469.0,Research & Development,8.0,4.0,Life Sciences,,296.0,2.0,Male,81.0,2.0,3.0,,2.0,Married,12490.0,15736.0,5.0,Y,No,16.0,3.0,4.0,80.0,2.0,16.0,5.0,,10.0,9.0,,7.0
,No,Travel_Rarely,528.0,,8.0,4.0,Technical Degree,1.0,1164.0,3.0,Male,,3.0,1.0,Human Resources,3.0,,4323.0,7108.0,1.0,,No,17.0,3.0,,80.0,0.0,6.0,2.0,1.0,5.0,,1.0,4.0
yes,No,Travel_Rarely,,Sales,15.0,2.0,Medical,,1356.0,3.0,Female,66.0,3.0,2.0,,1.0,,6125.0,23553.0,,,No,12.0,3.0,,80.0,0.0,10.0,,4.0,,8.0,,6.0
yes,No,Travel_Rarely,583.0USD,,4.0USD,1.0,Marketing,1.0,885.0,3.0,Male,,2.0,2.0,,,Married,4256.0,,1.0,Y,No,12.0,3.0,1.0,80.0,0.0,5.0,,4.0,5.0,2.0,0.0,3.0
33.0,Yes,Travel_Rarely,813.0,Research & Development,14.0,3.0,Medical,1.0,,3.0,Male,58.0,3.0,1.0,Laboratory Technician,4.0,,2436.0,,5.0,Y,Yes,13.0,3.0,3.0,80.0,1.0,8.0,,1.0,5.0,4.0,0.0,4.0
29.0,,Travel_Rarely,441.0,Research & Development,8.0,1.0,Other,1.0,,3.0,Female,39.0,,2.0,Healthcare Representative,1.0,Married,9715.0,,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,9.0,3.0,3.0,7.0,7.0,,7.0
yes,No,Travel_Frequently,566.0,Research & Development,18.0,4.0,Life Sciences,1.0,,3.0,Male,81.0,,1.0,Laboratory Technician,4.0,Married,,,,Y,No,18.0,3.0,4.0,80.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0
yes,,Travel_Rarely,1217.0,,,4.0,Technical Degree,,126.0,1.0,Female,60.0,3.0,3.0,Research Director,,,13549.0,24001.0,9.0,Y,No,12.0,,,80.0,1.0,,5.0,1.0,4.0,,0.0,3.0
32.0,No,,1311.0,Research & Development,7.0,3.0,,1.0,359.0,2.0,,100.0,4.0,1.0,,2.0,Married,2794.0,26062.0,1.0,Y,No,,4.0,3.0,,0.0,5.0,,1.0,5.0,1.0,0.0,3.0
,No,Travel_Rarely,1112.0,Human Resources,,4.0,Life Sciences,1.0,665.0,1.0,Female,,,2.0,Human Resources,3.0,Single,5985.0,26894.0,4.0,Y,No,11.0,,,80.0,0.0,10.0,1.0,,2.0,2.0,0.0,2.0
52.0,No,Travel_Rarely,1053.0,Research & Development,1.0,2.0,Life Sciences,1.0,976.0,4.0,,70.0,3.0,4.0,Manager,,Married,17099.0,13829.0,2.0,,No,15.0,,2.0,80.0,1.0,26.0,2.0,2.0,9.0,8.0,,8.0
30.0,,Non-Travel,829.0,Research & Development,,,Life Sciences,1.0,292.0,3.0,Male,88.0,2.0,3.0,,3.0,Single,8474.0,20925.0,1.0,Y,,22.0,4.0,3.0,80.0,0.0,12.0,2.0,3.0,11.0,,5.0,8.0
45.0,No,,,Research & Development,7.0,,Life Sciences,1.0,,1.0,,77.0,4.0,2.0,Manufacturing Director,3.0,,6434.0,5118.0,,Y,No,17.0,3.0,4.0,80.0,1.0,9.0,1.0,,3.0,2.0,0.0,2.0
yes,No,,635.0,Sales,,1.0,Life Sciences,1.0,387.0,2.0,Male,99.0,3.0,2.0,Sales Executive,,Married,4907.0,24532.0,1.0,Y,No,25.0,4.0,3.0,80.0,0.0,20.0,3.0,3.0,,16.0,,6.0
yes,No,,770.0,,5.0,3.0,,1.0,,3.0,Male,84.0,3.0,,Manager,2.0,Divorced,14026.0,,1.0,Y,Yes,11.0,3.0,2.0,80.0,1.0,33.0,2.0,3.0,,9.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0USD,Yes,Travel_Rarely,310.0USD,Research & Development,7.0USD,2.0,Technical Degree,1.0,,,,72.0,,1.0,Laboratory Technician,3.0,Married,2339.0,3666.0,8.0,Y,No,11.0,3.0,,80.0,1.0,,4.0,1.0,,9.0,9.0,
